,id,company_name,job_title,location,job_link,type
225,226,Paytm,Sales Team Lead,"Tirupati, Andhra Pradesh",https://jobs.lever.co/paytm/92bdb7c8-4d3d-4dc7-ac77-1a0108694a5d,Marketing
226,227,Paytm,SM - Deputy Manager - EDC Retail Mid-Market,"Bangalore, Karnataka",https://jobs.lever.co/paytm/f1f1470c-af8c-47ee-a8f7-c7ec8c04c4cc,Other
227,228,Paytm,Sales Account Manager - Team Lead,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/30f1c8e1-31c4-4b69-a34e-f29ee1d026ed,Marketing
228,229,Paytm,Sales Account Manager - Team Lead,"Hyderabad, Telangana",https://jobs.lever.co/paytm/6fd4ec35-ddbd-4d98-8c5d-68ab5f0abfa4,Marketing
229,230,Paytm,Sales Account Manager - Team Lead,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/b2e4d05e-79d7-4bdc-93d2-50a558b8161e,Marketing
230,231,Paytm,Sales Account Manager - Team Lead,"Gurugram, Haryana",https://jobs.lever.co/paytm/38c3bd27-dc96-4081-9496-d32bb24f715a,Marketing
231,232,Paytm,SAM - Manager,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/09701522-0a9d-4bae-b11c-f9e35b1e39ad,Other
232,233,Paytm,Area Sales Manager - Executive Manager,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/b52e7454-dcd1-4c1f-8e39-bd1c5c0536dc,Marketing
233,234,Paytm,Area Sales Manager (QR Sales),"Mumbai, Maharashtra",https://jobs.lever.co/paytm/9bbb7f18-7996-4dcf-9fab-36d39f3f346b,Marketing
234,235,Paytm,Area Sales Manager-Goa (QR Sales),Goa,https://jobs.lever.co/paytm/8ebb1c87-a3f9-4554-b08b-4a6f739e5882,Marketing
235,236,Paytm,Area Service Manager - Mangalore / Bengaluru / Bagalkot.,"Mangalore, Karnataka",https://jobs.lever.co/paytm/0bae9e86-5f34-4f84-badc-66728e63489e,Other
236,237,Paytm,ASM (Retail Sales) -  Manager,"Madurai, Tamil Nadu",https://jobs.lever.co/paytm/f1a5bbef-b14f-4a34-b197-b816eac783f7,Marketing
237,238,Paytm,ASM (Retail Sales) -  Manager,"Kolkata, West Bengal",https://jobs.lever.co/paytm/bf2b4caa-8e83-4037-a3bd-109987741e7d,Marketing
238,239,Paytm,ASM (Retail Sales) -  Manager,"Ahmedabad, Gujarat",https://jobs.lever.co/paytm/5864bd7d-0fbd-4cd0-8162-d781aa93b258,Marketing
